S.No.,DISTRICT,Office Type,Office Name,Email Address (only NIC/ Gov email id),(CUG Number)
1,AGRA PS,,ACHHNERA,so-achhnera.ag@up.gov.in,9454402724
2,AGRA PS,,BASAUNI,so-basauni.ag@up.gov.in,9454402728
3,AGRA PS,,BAH,so-bah.ag@up.gov.in,9454402765
4,AGRA PS,,BARHAN,so-barhan.ag@up.gov.in,9454402725
5,AGRA PS,,BASAI ARELA,so-basaiarela.ag@up.gov.in,9454402726
6,AGRA PS,,CHHATTA,so-chhatta.ag@up.gov.in,9454402729
7,AGRA GRP PS,,GRP AGRA CANTT,so-grpagracantt.ag@up.gov.in,9454404418
8,AGRA GRP PS,,GRP AGRA FORT,so-grpagrafort.ag@up.gov.in,9454404461
9,AGRA AHTU PS,,ANTI-HUMAN TRAFFICKING UNIT,so-ahtu.ag@up.gov.in,9454409748
10,AGRA PS,,SHAHGANJ,so-shahganj.ag@up.gov.in,9454402760
11,AGRA PS,,SHAMSHABAD,so-shamshabad.ag@up.gov.in,9454402761
12,AGRA PS,,SIKANDARA,so-sikandara.ag@up.gov.in,9454402762
13,AGRA PS,,TAJGANJ,so-tajganj.ag@up.gov.in,9454402763
14,AGRA PS,,MANSUKHPURA,so-mansukhpura.ag@up.gov.in,9454402750
15,AGRA PS,,TOURISM,so-tourism.ag@up.gov.in,9454402764
16,AGRA PS,,PINDOURA,so-pindhora.ag@up.gov.in,9454402755
17,AGRA PS,,PINAHAT,so-pinahat.ag@up.gov.in,9454402756
18,AGRA PS,,RAKABGANJ,so-rakabganj.ag@up.gov.in,9454402757
19,AGRA PS,,MAHILA THANA,so-mahilathana.ag@up.gov.in,9454402748
20,AGRA PS,,SADAR BAZAR,so-sadarbazar.ag@up.gov.in,9454402758
21,AGRA PS,,SAIYAN,so-saiyan.ag@up.gov.in,9454402759
22,AGRA PS,,LOHAMANDI,so-lohamandi.ag@up.gov.in,9454402746
23,AGRA PS,,MALPURA,so-malpura.ag@up.gov.in,9454402749
24,AGRA PS,,MADAN MOHAN GATE,so-mmgate.ag@up.gov.in,9454402747
25,AGRA PS,,NEW AGRA,so-newagra.ag@up.gov.in,9454402753
26,AGRA PS,,NIBOHARA,so-nibohara.ag@up.gov.in,9454402754
27,AGRA PS,,NAI-KI-MANDI,so-naikimandi.ag@up.gov.in,9454402752
28,AGRA PS,,KAGARAUL,so-kagaraul.ag@up.gov.in,9454402741
29,AGRA PS,,KHANDAULI,so-khandauli.ag@up.gov.in,9454402743
30,AGRA PS,,KHERA RATHORE,so-kherarathor.ag@up.gov.in,9454402744
